,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,111/01/06,16:27:05,邱雅玲,資深副總經理,(02)3327-7777,公告本公司以子公司中國信託資產管理股份有限公司減資 取得新臺幣30億元之資金運用情形,第 51款,111/01/06,1.事實發生日:111/01/06 2.公司名稱:中國信託金融控股股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:本公司之子公司中國信託資產管理股份有限公司申請減資新臺幣30億元乙案 ，業經金融監督管理委員會110年7月1日金管銀控字第1100215013號函核准在案，爰依 「金融控股公司之子公司減資辦法」第五條第二項規定，金融控股公司子公司減資後， 應於每季結束後十日內，將該資金運用情形，輸入公開資訊觀測站。 6.因應措施: (1)資金用途：充實本公司營運資金，因應長期業務發展需求。 (2)資金運用情形：截至110年第四季止，實際支用金額新臺幣21億元，餘新臺幣9億元 將用於轉投資子公司中信創投。 7.其他應敘明事項:無,2891
1,1,111/01/07,17:35:15,邱雅玲,資深副總經理,(02)3327-7777,中國信託金融控股股份有限公司公告本公司暨主要子公司 110年度十二月份自結盈餘,第 51款,111/01/07,1.事實發生日:111/01/07 2.公司名稱:中國信託金融控股股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:公告中國信託金融控股股份有限公司暨主要子公司110年度十二月份自結盈餘 6.因應措施:無 7.其他應敘明事項: 單位:億元         十二月損益            累計一~十二月損益 --------------------------------------------------------------------------- 公司別          合併    母公司      合併     母公司    稅後EPS(元)                 稅前    業主稅後    稅前     業主稅後 中信金控        16.86   23.13       620.44   542.05     2.73 中國信託銀行    23.73   28.38       349.73   297.96     2.01 台灣人壽        -3.16   -2.02       249.43   231.31     3.71  註：累計1-12月不含外匯價格變動準備金之稅後EPS(元) 中信金控       2.71 台灣人壽       3.68,2891
2,1,111/01/14,17:49:06,邱雅玲,資深副總經理,(02)3327-7777,補充說明本公司110年11月19日公告董事會 決議發行無擔保普通公司債之發行條件,第 11款,111/01/14,1.董事會決議日期:NA 2.名稱﹝XX公司第X次（有、無）擔保公司債﹞:中國信託金融控股股份有限公司 一一一年度第一次無擔保普通公司債(補充) 3.發行總額:發行總額為新臺幣壹佰零參億元整。依發行條件不同分為A、B、C三種券， 其中A券發行金額為新臺幣壹拾伍億元整，B券發行金額為新臺幣肆拾捌億元整， C券發行金額為新臺幣肆拾億元整。(補充) 4.每張面額:新臺幣壹仟萬元整。(補充) 5.發行價格:依票面金額十足發行。 6.發行期間:A券發行期間為3年，券發行期間為7年， C券發行期間為10年。(補充) 7.發行利率:A券票面利率為固定利率年息0.62%。B券票面利率為固定利率年息0.70%。 C券票面利率為固定利率年息0.80%。(補充) 8.擔保品之種類、名稱、金額及約定事項:無 9.募得價款之用途及運用計畫:用於償還借款及屆期之公司債。(補充) 10.承銷方式:委託證券承銷商對外公開承銷。 11.公司債受託人:永豐商業銀行股份有限公司。(補充) 12.承銷或代銷機構:委任中國信託綜合證券股份有限公司為主辦承銷商。 13.發行保證人:無 14.代理還本付息機構:中國信託商業銀行股份有限公司。(補充) 15.簽證機構:無 16.能轉換股份者，其轉換辦法:不適用 17.賣回條件:無 18.買回條件:無 19.附有轉換、交換或認股者，其換股基準日:不適用 20.附有轉換、交換或認股者，對股權可能稀釋情形:不適用 21.其他應敘明事項:一一一年度第一次無擔保普通公司債業經主管機關申報生效在案， 後續將向中華民國證券櫃檯買賣中心申請於櫃檯買賣交易。(補充),2891
3,3,111/01/14,17:50:56,邱雅玲,資深副總經理,(02)3327-7777,代子公司中信證公告取得中國信託金融控股(股)公司 一一一年度第一次無擔保普通公司債 補充110/11/30公告,第 20款,111/01/14,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）: 中國信託金融控股股份有限公司一一一年度第一次無擔保普通公司債 2.事實發生日:111/1/14~111/1/14 3.交易單位數量、每單位價格及交易總金額: 交易單位數量:800單位 每單位價格:每張面額為新臺幣壹仟萬元 交易總金額:新臺幣80億元整 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之 關係人者，得免揭露其姓名）: 交易相對人:中國信託金融控股股份有限公司 與公司之關係:中國信託綜合證券為中國信託金融控股股份有限公司之子公司 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移 轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次 移轉日期及移轉金額: 擔任中國信託金融控股股份有限公司一一一年度第一次無擔保普通公司債 募集及發行之承銷商 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取 得及處分日期、價格及交易當時與公司之關係: 不適用 7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權 如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權 帳面金額: 不適用 8.處分利益（或損失）（取得有價證券者不適用）（遞延者應列表說明 認列情形）: 不適用 9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 交付或付款條件：於交割日一次付清 契約限制條款及其他重要約定事項：無 10.本次交易之決定方式、價格決定之參考依據及決策單位: 交易之決定方式：議價 價格決定之參考依據：市價 決策單位：經董事會決議通過並依內部核決權限辦理 11.取得或處分有價證券標的公司每股淨值: 不適用 12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 數量：800單位 金額：新臺幣80億元整 持股比例及權利受限情形：不適用 13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列 之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬 於母公司業主之權益之比例暨最近期財務報表中營運資金數額: 有價證券投資（含本次交易）占公司最近期財務報表中總資產比例: 0.48 % 有價證券投資（含本次交易）占歸屬於母公司業主之權益之比例: 7.78 % 營運資金:NT$8,153,026,000 14.經紀人及經紀費用: 不適用 15.取得或處分之具體目的或用途: 因擔任公司債之承銷商而協助銷售及交割事宜 16.本次交易表示異議董事之意見: 無 17.本次交易為關係人交易:是 18.董事會通過日期: 民國110年11月30日 19.監察人承認或審計委員會同意日期: 民國110年11月30日 20.本次交易會計師出具非合理性意見:不適用 21.會計師事務所名稱: 不適用 22.會計師姓名: 不適用 23.會計師開業證書字號: 不適用 24.是否涉及營運模式變更:否 25.營運模式變更說明: 不適用 26.過去一年及預計未來一年內與交易相對人交易情形: 不適用 27.資金來源: 營運資金 28.其他敘明事項: 無",2891
4,1,111/01/18,15:41:29,邱雅玲,資深副總經理,(02)3327-7777,(更正110/12/27公告)代子公司中國信託資產管理股份有限公司 公告向關係人取得使用權資產,第 20款,111/01/18,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: 臺北市南港區經貿二路188號15樓部份房屋為辦公場所 2.事實發生日:111/1/18~111/1/18 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: 交易單位數量：辦公室34.39坪  每單位價格：辦公室每坪租金每個月為新臺幣2,080元 租金金額：每個月為新臺幣71,531元 交易總金額：新臺幣1,716,744元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 中國信託商業銀行股份有限公司 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 選定關係人為交易對象之原因： 本次取得之使用權資產，業於107年2月13日起承租，皆供營業使用，暫無搬遷考量。 前次移轉之所有人：不適用 前次移轉之所有人與公司及交易相對人間相互之關係: 不適用 前次移轉日期：不適用 前次移轉金額：不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 不適用 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 付款條件：每三個月付一次，每次支付新臺幣214,593元 租期：111/01/01 ~ 112/12/31 其他重要約定：無 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 交易決定方式：不動產估價師估價報告 價格決定之參考依據：不動產估價師估價報告 決策單位：董事長 10.專業估價者事務所或公司名稱及其估價金額: 公司名稱：宏邦不動產估價師聯合事務所 估價金額：每坪租金每個月為新臺幣2,191元 11.專業估價師姓名: 李青塘 12.專業估價師開業證書字號: (108)北市估字第000278號 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 不適用 21.取得或處分之具體目的或用途: 續租辦公室供營業使用 本次取得使用權資產，業於107年2月13日起承租，皆供營業使用，暫無搬遷考量。 22.本次交易表示異議之董事之意見: 不適用 23.本次交易為關係人交易:是 24.董事會通過日期: 不適用，依據金融控股公司法第45條規定， 該交易金額授權依內部規定權責主管核准即可。 25.監察人承認或審計委員會同意日期: 不適用 26.本次交易係向關係人取得不動產或其使用權資產:是 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無",2891
5,1,111/01/21,16:31:30,邱雅玲,資深副總經理,(02)3327-7777,代子公司中國信託商業銀行公告關係人捐贈案,第 43款,111/01/21,"1.事實發生日:111/01/21 2.捐贈原由:中國信託商業銀行捐贈中信學校財團法人中信金融管理學院 3.捐贈金額:111年捐贈金額新臺幣75,000,000元 4.受贈對象:中信學校財團法人中信金融管理學院 5.與公司關係:關係人 6.表示反對或保留意見之獨立董事姓名及簡歷:無 7.前揭獨立董事表示反對或保留之意見:無 8.其他應敘明事項:無",2891
6,2,111/01/21,19:11:59,邱雅玲,資深副總經理,(02)3327-7777,代子公司中國信託育樂股份有限公司 公告收購兄弟育樂股份有限公司營業,第 11款,111/01/21,1.併購種類(如合併、分割、收購或股份受讓): 收購營業 2.事實發生日:111/1/21 3.參與併購公司名稱(如合併另一方公司、分割新設公司、收購或受讓股份標的公司之 名稱: 不適用 4.交易相對人(如合併另一方公司、分割讓與他公司、收購或受讓股份之交易對象): 兄弟育樂股份有限公司 5.交易相對人為關係人:是 6.交易相對人與公司之關係(本公司轉投資持股達XX%之被投資公司)，並說明選定 收購、受讓他公司股份之對象為關係企業或關係人之原因及是否不影響股東權益: 中信金控子公司負責人任負責人之企業。 本集團長期支持兄弟棒球隊，本交易將球隊正式納入集團管理。 本交易不影響股東權益。 7.併購目的: 業務發展 8.併購後預計產生之效益: 拓展中信育樂於體育文創事業之經營版圖， 進一步整合資源並提升於運動文化產業之行銷推廣效率。 9.併購對每股淨值及每股盈餘之影響: 無影響 10.併購後續處理方式，包括支付併購對價之時間及方法等: 交割日暫定為2/25，將匯款至交易對象之指定帳戶。 11.併購之對價種類及資金來源: 併購對價為現金新台幣8090萬元，以企業贊助金支應 12.換股比例及其計算依據: 不適用 13.本次交易會計師、律師或證券承銷商出具非合理性意見:否 14.會計師或律師事務所名稱或證券承銷商公司名稱: 安誠會計師事務所 15.會計師或律師姓名: 陳靖玲 16.會計師或律師開業證書字號: 北市會證字第943號 17.獨立專家就本次併購換股比例、配發股東之現金或其他財產之合理性意見書內容 (一、包含公開收購價格訂定所採用之方法、原則或計算方式及與國際慣用之市價法 、成本法及現金流量折現法之比較。二、被收購公司與已上市櫃同業之財務狀況 、獲利情形及本益比之比較情形。三、公開收購價格若參考鑑價機構之鑑價報告者 ，應說明該鑑價報告內容及結論。四、收購人融資償還計畫若係以被收購公司或合 併後存續公司之資產或股份為擔保者，應說明對被收購公司或合併後存續公司財務 業務健全性之影響評估): 本交易價格經獨立專家採用資產法評估認為交易價格對股東權益尚無減損情事， 應尚屬合理 18.預定完成日程: 暫定為2/25 19.既存或新設公司承受消滅(或分割)公司權利義務相關事項(註二): 不適用 20.參與合併公司之基本資料(註三): 不適用 21.分割之相關事項(含預定讓與既存公司或新設公司之營業、資產之評價價值；被 分割公司或其股東所取得股份之總數、種類及數量；被分割公司資本減少時，其資 本減少有關事項)(註：若非分割公告時，則不適用): 不適用 22.併購股份未來移轉之條件及限制: 不適用 23.併購完成後之計畫(包含一、繼續經營公司業務之意願及計畫內容。二、是否發生 解散、下市(櫃)、重大變更組織、資本、業務計畫、財務及生產，或其他任何影響 公司股東權益之重大事項): 一、中信育樂將繼續經營棒球隊等相關業務。 二、否。 24.其他重要約定事項: 兄弟育樂應取得中華職棒關於將兄弟球隊轉讓予中信育樂之 必要許可、同意或核准。 25.其他與併購相關之重大事項: 無 26.本次交易，董事有無異議:否 27.併購交易中涉及利害關係董事資訊(自然人董事姓名或法人董事名稱暨其代表人姓名 、其自身或其代表之法人有利害關係之重要內容(包括但不限於實際或預計投資其他 參加併購公司之方式、持股比率、交易價格、是否參與併購公司之經營及其他投資條件 等情形)、其應迴避或不迴避理由、迴避情形、贊成或反對併購決議之理由): 無 28.是否涉及營運模式變更:否 29.營運模式變更說明(註四): 不適用 30.過去一年及預計未來一年內與交易相對人交易情形(註五): 過去雙方有行銷合作，於營業讓與後預期與交易相對人無交易 31.資金來源(註五): 企業贊助金 32.其他敘明事項: 無 註二、既存或新設公司承受消滅公司權利義務相關事項，包括庫藏股及已發行具有股權性質有 　　　價證券之處理原則。 註三：參與合併公司之基本資料包括公司名稱及所營業務之主要內容。 註四：倘涉營運模式變更，請於欄位敘明包括營業範圍變更、產品線擴充/縮減、製程調整、產業 　　　水平/垂直整合，或其他涉及營運架構調整事項。 註五：非屬私募資金用以併購案件者，得填寫不適用。,2891
7,3,111/01/21,19:18:28,邱雅玲,資深副總經理,(02)3327-7777,子公司中信銀提前與華翼育樂有限公司 終止民國102年簽署之「冠名贊助暨廣告合作契約書」。,第 20款,111/01/21,1. 原公告日期： 102/12/03 2. 簡述原公告申報內容： 本行與華翼育樂有限公司簽訂冠名贊助暨廣告合作契約， 一次性支付冠名贊助金新臺幣四億元， 取得兄弟象股份有限公司其下職業棒球隊十年獨家冠名權。 3. 變動緣由及主要內容： 因兄弟育樂擬讓與營業及資產予中信育樂股份有限公司， 致華翼育樂有限公司喪失對該職業棒球隊控制權， 故提前終止原102年簽署之「冠名贊助暨廣告合作契約書」。 4. 變動後對公司財務業務之影響： 無。 5. 其他應敘明事項： 無。,2891
8,1,111/01/24,17:21:45,邱雅玲,資深副總經理,(02)3327-7777,代子公司中國信託資產管理股份有限公司公告處分不動產,第 20款,111/01/24,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: 台北市中山區長安東路二段88號7樓、88號9樓、90號9樓及90號10樓 2.事實發生日:111/1/24~111/1/24 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: 建物面積: 505.26坪; 交易總金額: 385,800仟元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 非關係人, 木華企業股份有限公司及自然人 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 預計處分利益約新台幣69,880仟元 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 依不動產買賣契約書約定 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 交易決定方式: 個別議價 價格決定之參考依據: 不動產估價師之估價報告 決策單位: 董事會決議 10.專業估價者事務所或公司名稱及其估價金額: 國泰不動產估價師聯合事務所, 估價金額: 新台幣348,602,740元 11.專業估價師姓名: 莊雅媛 12.專業估價師開業證書字號: (110)北市估字第000305號 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 不適用 21.取得或處分之具體目的或用途: 主要營業活動 22.本次交易表示異議之董事之意見: 無 23.本次交易為關係人交易:否 24.董事會通過日期: 不適用 25.監察人承認或審計委員會同意日期: 不適用 26.本次交易係向關係人取得不動產或其使用權資產:否 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無",2891
9,1,111/01/25,17:26:14,邱雅玲,資深副總經理,(02)3327-7777,代子公司台灣人壽保險股份有限公司 公告解除經理人競業禁止之限制。,第 21款,111/01/25,1.董事會決議日:111/01/25 2.許可從事競業行為之經理人姓名及職稱: 吳家昌/台灣人壽保險(股)公司協理 3.許可從事競業行為之項目: 吳家昌/台灣風能投資股份有限公司董事 吳家昌/日曜能源股份有限公司董事 4.許可從事競業行為之期間:任職本公司經理人職務期間 5.決議情形（請依公司法第32條說明表決結果）:出席董事同意通過 6.所許可之競業行為如屬大陸地區事業之營業者，經理人姓名及職稱 （非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用 7.所擔任該大陸地區事業之公司名稱及職務:不適用 8.所擔任該大陸地區事業地址:不適用 9.所擔任該大陸地區事業營業項目:不適用 10.對本公司財務業務之影響程度:無影響 11.經理人如有對該大陸地區事業從事投資者，其投資金額及持股比例:無 12.其他應敘明事項:無,2891
