,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,111/02/08,17:41:38,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告一一一年 第一次股東臨時會重要決議事項,第 18款,111/02/08,1.股東臨時會日期:111/02/08 2.重要決議事項:  (1) 承認一○九年合併/個體財報 (含絡達SAMOA)案  (2) 通過一一一年第一次資本公積轉增資及資本公積發放現金案  (3) 通過本公司「公司章程」修訂案  (4) 通過本公司「取得或處分資產處理程序」修訂案  (5) 通過本公司「資金貸與他人作業程序」新增案  (6) 通過本公司「股東會議事規則」修訂案  (7) 通過本公司「董事選舉辦法」修訂案 3.其他應敘明事項:無,2454
1,2,111/02/08,17:42:01,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告一一一年 第一次資本公積轉增資及資本公積發放現金配發基準日,第 14款,111/02/08,"1.董事會、股東會決議或公司決定日期:111/02/08 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除權息 3.發放股利種類及金額: 股票股利新台幣415,730,580元 現金股利新台幣6,235,958,700元 4.除權（息）交易日:NA 5.最後過戶日:111/02/11 6.停止過戶起始日期:111/02/14 7.停止過戶截止日期:111/02/18 8.除權（息）基準日:111/02/18 9.其他應敘明事項:無",2454
2,1,111/02/11,16:56:43,顧大為,財務長,(03)5670766,聯發科技111年1月份自結合併營收淨額公告,第 51款,111/02/11,1.事實發生日:111/02/11 2.公司名稱:聯發科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由: 聯發科技一百一十一年一月份自結合併營收淨額為新台幣435億2佰萬元， 較前月合併營收淨額新台幣462億2佰萬元減少5.84%。 6.因應措施:無 7.其他應敘明事項:無,2454
3,1,111/02/18,16:35:17,顧大為,財務長,(03)5670766,公告本公司參與機構投資人說明會,第 12款,111/02/21,符合條款第四條第XX款：12 事實發生日：111/02/21 1.召開法人說明會之日期：111/02/21 ~ 111/02/22 2.召開法人說明會之時間：14 時 00 分  3.召開法人說明會之地點：線上法說會 4.法人說明會擇要訊息：公告本公司111年2月21日至2月22日受邀參加摩根大通證券舉辦之Taiwan CEO-CFO Conference 2022，簡報資料請參閱公開資訊觀測站。 5.其他應敘明事項：無 完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。,2454
4,2,111/02/23,17:48:20,顧大為,財務長,(03)5670766,公告本公司限制員工權利新股註銷完成變更登記事宜,第 36款,111/02/23,"1.主管機關核准減資日期:111/02/21 2.辦理資本變更登記完成日期:111/02/21 3.對財務報告之影響（含實收資本額與流通在外股數之差異與對每股淨值之影響）: (1)本次銷除股份17,699股，每股面額新台幣(以下同)壹拾元，    共計減少資本176,990元。 (2)RSA股份註銷減資前：本公司實收資本額為15,988,419,980元，    流通在外股數為1,598,841,998 股，每股淨值 249.91元。 (3)RSA股份註銷減資後：本公司實收資本額為15,988,242,990元，    流通在外股數為1,598,824,299 股，每股淨值 249.91元。 (註:每股淨值係以110年第3季之財務報表為設算依據)。 4.預計換股作業計畫:不適用 5.預計減資新股上市後之上市普通股股數:不適用 6.預計減資新股上市後之上市普通股股數占已發行普通股比率  （減資後上市普通股股數/減資後已發行普通股股數）:不適用 7.前二項預計減資後上巿普通股股數未達6000萬股且未達25%者，請說明股權流通性偏低   之因應措施:不適用 8.其他應敘明事項:無",2454
5,1,111/02/23,17:48:42,顧大為,財務長,(03)5670766,本公司董事長決定限制員工權利新股之增資基準日,第 51款,111/02/23,"1.事實發生日:111/02/23 2.公司名稱:聯發科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由: (1)本公司已於110/07/05股東常會決議通過民國110年第一次限制員工權利新股 15,264,000股，每股面額10元，總額新臺幣152,640,000元乙案， 業經金融監督管理委員會（金管證發字第1100350517號函）自110/07/29申報生效。 (2)依本公司【民國110年第一次限制員工權利新股發行辦法】， 實際發行日期(即增資基準日)授權董事長決定； 本公司董事長決定增資基準日為111/2/23。 (3)本次增資基準日實際發行股數為 157,274 股。 6.因應措施:不適用 7.其他應敘明事項:無",2454
6,1,111/02/24,17:43:51,顧大為,財務長,(03)5670766,代重要子公司立錡科技股份有限公司公告董事會決議分派股利,第 14款,111/02/24,"1.董事會決議日期:111/02/24 2.發放股利種類及金額:現金股利新台幣5,713,173,071元 3.其他應敘明事項:無",2454
7,3,111/02/24,17:44:07,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告董事會決議不發放股利,第 14款,111/02/24,1.董事會決議日期:111/02/24 2.發放股利種類及金額:董事會決議不發放股利 3.其他應敘明事項:無,2454
8,1,111/02/25,17:43:36,顧大為,財務長,(03)5670766,公告本公司110年度合併財務報告業經董事會決議通過,第 31款,111/02/25,"1.提報董事會或經董事會決議日期:111/02/25 2.審計委員會通過日期:111/02/25 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):110/01/01~110/12/31 4.1月1日累計至本期止營業收入(仟元):493,414,582 5.1月1日累計至本期止營業毛利(毛損) (仟元):231,604,595 6.1月1日累計至本期止營業利益(損失) (仟元):108,040,234 7.1月1日累計至本期止稅前淨利(淨損) (仟元):126,852,053 8.1月1日累計至本期止本期淨利(淨損) (仟元):111,872,533 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):111,421,062 10.1月1日累計至本期止基本每股盈餘(損失) (元):70.56 11.期末總資產(仟元):660,876,748 12.期末總負債(仟元):227,228,854 13.期末歸屬於母公司業主之權益(仟元):432,015,296 14.其他應敘明事項:無",2454
9,1,111/02/25,19:01:23,顧大為,財務長,(03)5670766,公告本公司董事會決議增資子公司,第 20款,111/02/25,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）: 1.旭達投資股份有公司（下稱「旭達投資」）普通股股份； 2.聯發資本股份有限公司（下稱「聯發資本」）普通股股份 2.事實發生日:111/2/25~111/2/25 3.交易數量、每單位價格及交易總金額: 1.旭達投資: 交易單位數量: 不超過210,000,000股；每單位價格:新台幣10元； 交易總金額: 不超過新台幣21億元 2.聯發資本:  交易單位數量: 不超過90,000,000股；每單位價格:新台幣10元； 交易總金額:不超過新台幣9億元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之 關係人者，得免揭露其姓名）: 各交易相對人皆為本公司100%持有之子公司。 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移 轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次 移轉日期及移轉金額: 不適用。 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取 得及處分日期、價格及交易當時與公司之關係: 不適用。 7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權 如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權 帳面金額: 不適用。 8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明 認列情形）: 不適用。 9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 董事會決議後，於額度內安排一次或分次進行增資。 10.本次交易之決定方式、價格決定之參考依據及決策單位: 現金增資；本公司董事會。 11.取得或處分有價證券標的公司每股淨值: 不適用 12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 1.旭達投資:  交易數量: 609,380,103股；交易金額: 新台幣, 6,093,801,030元； 持股比例: 100%；權利受限情形: 無受限。 2.聯發資本:  交易數量: 119,000,000股；交易金額: 新台幣 1,190,000,000元； 持股比例:100%；權利受限情形: 無受限。 13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列 之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬 於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）: 占公司最近期財務報表中總資產之比例：53.40% 占公司最近期財務報表中歸屬於母公司業主之權益之比例：73.70% 最近期財務報表中營運資金數額：新台幣8,178,639仟元 14.經紀人及經紀費用: 不適用。 15.取得或處分之具體目的或用途: 供旭達投資及聯發資本進行策略或財務性投資 16.本次交易表示異議董事之意見: 無。 17.本次交易為關係人交易:是 18.董事會通過日期: 民國111年2月25日 19.監察人承認或審計委員會同意日期: 民國111年2月25日 20.本次交易會計師出具非合理性意見:不適用 21.會計師事務所名稱: 不適用 22.會計師姓名: 不適用 23.會計師開業證書字號: 不適用 24.是否涉及營運模式變更:否 25.營運模式變更說明: 不適用 26.過去一年及預計未來一年內與交易相對人交易情形: 不適用 27.資金來源: 自有資金 28.其他敘明事項: 無",2454
