,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,111/03/07,15:52:29,陳政權,總經理,02-2570-0898,因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,第 51款,111/03/07,1.事實發生日:111/03/07 2.發生緣由:依據臺灣證券交易所股份有限公司通知辦理。 3.財務業務資訊:  期間         最近一月     與去年       最近一季     與去年     110年第1季至              111年01月    同期增減    110年第4季   同期增減    110年第4季                  (合併自結數)            (合併自結數)         (合併自結數)           ========================= ======================= ============== 科目           (金額)       (%)         (金額)       (%)        (金額) ====      ============= =========== ============ ========== ============== 營業收入          37         (26)          94       (30)          508 (百萬) 稅前淨利(損)     (36)       (340)          38       (47)          (94) (百萬 歸屬母公司 業主淨利(損)     (36)       (340)          29        222         (104) (百萬) 每股盈餘(虧損) (0.51)       (340)         0.42       222        (1.48) (元) 4.有無「臺灣證券交易所股份有限公司對有價證券上市公司重大訊息之查證暨公開處理   程序」第4條所列重大訊息之情事（如「有」，請說明）:無 5.有無「臺灣證券交易所股份有限公司對有價證券上市公司重大訊息之查證暨公開處理   程序」第11條所列重大訊息說明記者會之情事:無 6.完整財務資訊請至公開資訊觀測站查閱，路徑如下： (1)近期營業收入及損益資訊：基本資料>精華版 (2)歷史每月營業收入：營運概況>每月營收>採用IFRSs後之月營業收入資訊 (3)歷史損益(會計師查核/核閱數)：財務報表>採IFRSs後>合併/個別報表>綜合損益表 (4)歷史損益(自願性公告自結數)：營運概況>自結損益公告: 7.其他應敘明事項:無,3383
1,1,111/03/15,15:57:26,陳政權,總經理,02-2570-0898,公告本公司董事會通過110年第四季合併財務報告,第 31款,111/03/15,"1.提報董事會或經董事會決議日期:111/03/15 2.審計委員會通過日期:111/03/15 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):110/01/01~110/09/30 4.1月1日累計至本期止營業收入(仟元):508,491 5.1月1日累計至本期止營業毛利(毛損) (仟元):(88,874) 6.1月1日累計至本期止營業利益(損失) (仟元):(209,020) 7.1月1日累計至本期止稅前淨利(淨損) (仟元):(93,702) 8.1月1日累計至本期止本期淨利(淨損) (仟元):(103,688) 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):(103,688) 10.1月1日累計至本期止基本每股盈餘(損失) (元):(1.48) 11.期末總資產(仟元):2,720,249 12.期末總負債(仟元):2,623,428 13.期末歸屬於母公司業主之權益(仟元):96,821 14.其他應敘明事項:無",3383
2,2,111/03/15,15:57:50,陳政權,總經理,02-2570-0898,公告本公司110年第四季合併財務報告，經簽證會計師出具 無保留意見加註繼續經營有關之重大不確定性段落之查核報告。,第 30款,111/03/15,"1.事實發生日:111/03/15 2.會計師查核意見全文: 新世紀光電股份有限公司　公鑒： 查核意見 新世紀光電股份有限公司及其子公司(以下簡稱「新世紀光電集團」)民國110年及 109年12月31日之合併資產負債表，暨民國110年及109年1月1日至12月31日之合併 綜合損益表、合併權益變動表、合併現金流量表，以及合併財務報表附註(包含重 大會計政策彙總)，業經本會計師查核竣事。 依本會計師之意見，上開合併財務報表在所有重大方面係依照「證券發行人財務 報告編製準則」暨金融監督管理委員會認可之國際財務報導準則、國際會計準則、 解釋及解釋公告編製，足以允當表達新世紀光電集團民國110年及109年12月31日之 合併財務狀況，暨民國110年及109年1月1日至12月31日之合併財務績效及合併現金 流量。 查核意見之基礎 本會計師係依照「會計師查核簽證財務報表規則」及中華民國一般公認審計準則執 行查核工作。本會計師於該等準則下之責任將於會計師查核合併財務報表之責任段 進一步說明。本會計師所隸屬事務所受獨立性規範之人員已依中華民國會計師職業 道德規範，與新世紀光電集團保持超然獨立，並履行該規範之其他責任。本會計師 相信已取得足夠及適切之查核證據，以作為表示查核意見之基礎。 繼續經營有關之重大不確定性 新世紀光電集團民國110年度之淨損失新台幣103,688仟元，營運持續虧損，截至 民國110年12月31日止之待彌補虧損為新台幣601,578仟元已超過實收資本額二分之一， 負債比率已達96%，且預計一年內應償還或展延之借款約新台幣166,296仟元。新世紀 光電集團管理當局雖已於財務報表附註十二.8提出營運及財務規劃，惟營運持續虧損 及短期資金流動性導致新世紀光電集團繼續經營之能力存在重大不確定性。本會計師 未因此修正查核結論。 關鍵查核事項 關鍵查核事項係指本會計師之專業判斷，對新世紀光電集團民國110年度合併財務 報表之查核最為重要之事項。該等事項已於查核合併財務報表整體及形成查核意見 之過程予以因應，本會計師並不對該等事項單獨表示意見。 新世紀光電集團民國110年度合併財務報表之關鍵查核事項如下： 備抵存貨跌價損失之評估 事項說明 　　有關存貨評價之會計政策請詳合併財務報表附註四.10存貨之說明； 存貨評價之會計估計及假設之不確定性請詳合併財務報表附註五.2(1)存貨之評價 之說明；存貨備抵跌價損失請詳合併財務報表附註六.6存貨之說明。新世紀光電 集團截至民國110年12月31日止之存貨及備抵存貨跌損失餘額分別為新台幣 795,052仟元及543,018仟元。    新世紀光電集團主要產品晶片及晶粒，受到中國產能擴充與市場低價競爭因素 影響，故存貨跌價損失或過時陳舊之風險較高。新世紀光電集團對正常出售存貨 係以成本與淨變現價值孰低者衡量；對於超過特定期間貨齡之存貨及個別辨認有 過時陳舊之存貨，其淨變現價值係依據存貨去化程度之歷史資訊推算而得，前述 備抵存貨跌價損失之評估主要來自個別辨認過時陳舊項目，由於公司存貨金額大、 項目眾多且常涉及人工判斷，故本會計師將備抵存貨跌價損失之評估列為本年度 關鍵查核事項之一。 因應之查核程序  　本會計師對上開關鍵事項所?明之特定層面已執行之因應程序彙列如下： 1.評估集團備抵存貨跌價損失所採用提列政策與程序之合理性，包括存貨去化 程度之歷史資訊，及判斷過時陳舊存貨項目之合理性。 2.測試集團用以評估存貨貨齡報表系統邏輯之適當性，以確認報表資訊與其政策 一致。 3.抽查個別存貨料號用以核對其淨變現價值，進而評估公司備抵存貨跌價損失之 合理性。 不動產、廠房及設備之減損評估 事項說明 　有關不動產、廠房及設備減損之會計政策請詳合併財務報表附註四.18非金融資產 減損之說明；不動產、廠房及設備減損之會計估計及假設之不確性，請詳合併財務 報表附註五.2(2)有形資產減損評估之說明；不動產、廠房及設備餘額請詳合併財 務報表附註六.8不動產、廠房及設備及附註六.11非金融資產減損之說明。新世紀 光電集團截至民國110年12月31日之不動產、廠房及設備及累計減損餘額分別為台幣 2,262,621仟元及170,928仟元。   新世紀光電集團因受台灣LED產業產能供需失衡，集團面臨艱困競爭環境而 持續虧損，管理階層係取得外部專家之資產鑑價報告就不動產、廠房及設備 進行減損評估，並於民國110年度認列減損迴轉利益計新台幣100,321仟元。 因外部專家對於資產價值之評估涉及包括資料來源參考及估價價格調整因子考量 等假設。前述評估考量因素具有主觀判斷，且其結果對財務報表影響重大， 故本會計師將不動產廠房及設備之減損評估列為本年度關鍵查核事項之一。 因應之查核程序 　本會計師對上開關鍵事項所敘明之特定層面已執行之因應程序彙列如下： 1.瞭解及評估集團針對資產減損評估相關政策及處理程序。 2.取得集團委任外部專家出具之資產鑑價報告並執行下列程序:   (1)評估外部專家之獨立性、客觀性及適任性。 　(2)瞭解評價報告中所採用評價方法之合理性。 　(3)評估評價報告中所採用評價關鍵假設之合理性。 其他事項-個體財務報告 新世紀光電股份有限公司已編製民國110年度及109年度個體財務報表， 並經本會計師出具「無保留意見加繼續經營有關之重大不確定性段落」及 「無保留意見」之查核報告在案，備供參考。 管理階層與治理單位對財務報告之責任   管理階層之責任係依照「證券發行人財務報告編製準則」暨金融監督管理 委員會認可之國際財務報導準則、國際會計準則、解釋及解釋公告編製允當表達 之合併財務報表，且維持與合併財務報表編製有關之必要內部控制，以確保合併 財務報表未存有導因於舞弊或錯誤之重大不實表達。   於編製合併財務報表時，管理階層之責任亦包括評估新世紀光電集團繼續經營 之能力、相關事項之揭露，以及繼續經營會計基礎之採用，除非管理階層意圖 清算新世紀光電集團或停止營業，或除清算或停業外別無實際可行之其他方案。   新世紀光電集團之治理單位負有監督財務報導流程之責任。 會計師查核財務報告之責任   本會計師查核合併財務報表之目的，係對合併財務報表整體是否存有導因於舞弊 或錯誤之重大不實表達取得合理確信，並出具查核報告。合理確信係高度確信， 惟依照中華民國一般公認審計準則執行之查核工作無法保證必能偵出個體財務報表 存有之重大不實表達。不實表達可能導因於錯誤或舞弊。如不實表達之個別金額或 彙總數可合理預期將影響合併財務報表使用者所作之經濟決策，則被認為具有 重大性。   本會計師依照中華民國一般公認審計準則查核時，運用專業判斷並保持專業上 之懷疑。 本會計師亦執行下列工作： 1.辨認並評估合併財務報表導因於舞弊或錯誤之重大不實表達風險;對所評估之 風險設計及執行適當之因應對策；並取得足夠及適切之查核證據以作為查核意見 之基礎。因舞弊可能涉及共謀、偽造、故意遺漏、不實聲明或踰越內部控制， 故未偵出導因於舞弊之重大不實表達之風險高於導因於錯誤者。 2.對與查核攸關之內部控制取得必要之瞭解，以設計當時情況下適當之查核程序， 惟其目的非對新世紀光電集團內部控制之有效性表示意見。 3.評估管理階層所採用會計政策之適當性，及其所作會計估計與相關揭露之合理性。 4.依據所取得之查核證據，對管理階層採用繼續經營會計基礎之適當性，以及使 新世紀光電集團繼續經營之能力可能產生重大疑慮之事件或情況是否存在重大不確定 性，作出結論。本會計師若認為該等事件或情況存在重大不確定，則須於查核報告中 提醒合併財務報表使用者注意合併財務報表之相關揭露，或於該等揭露係屬不適當時 修正查核意見。本會計師之結論係以截至查核報告日所取得之查核證據為基礎。 惟未來事件或情況可能導致新世紀光電集團不再具有繼續經營之能力。 5.評估合併財務報表(包括相關附註)之整體表達、結構及內容，以及合併財務報表 是否允當表達相關交易及事件。 6.對於集團內組成合併之財務資訊取得足夠及適切之查核證據，以對合併財務報表 表示意見。本會計師負責集團查核案件之指導、監督及執行，並負責形成集團財務 報表之查核意見。   本會計師與治理單位溝通之事項，包括所規劃之查核範圍及時間，以及重大查核 發現(包括於查核過程中所辨認之內部控制顯著缺失)。　 　本會計師亦向治理單位提供本會計師所隸屬事務所受獨立性規範之人員已遵循 中華民國會計師職業道德規範中有關獨立性之聲明，並與治理單位溝通所有可能 被認為會影響會計師獨立性之關係及其他事項（包括相關防護措施）。 　本會計師從與治理單位溝通之事項中，決定對新世紀光電集團民國110年度合併 財務報表查核之關鍵查核事項。本會計師於查核報告中敘明該等事項，除非法令 不允許公開揭露特定事項，或在極罕見情況下，本會計師決定不於查核報告中 溝通特定事項，因可合理預期此溝通所產生之負面影響大於所增進之公眾利益。 3.會計師事務所名稱:南台聯合會計師事務所 4.簽證會計師姓名及核准簽證文號1:丁澤祥 (79)台財證(一)第31833號 5.簽證會計師姓名及核准簽證文號2:蔡玉琴 (84)台財證(六)第24317號 6.會計師查核（核閱）報告日:111/03/15 7.因應措施:無 8.其他應敘明事項:無",3383
3,3,111/03/15,15:58:12,陳政權,總經理,02-2570-0898,本公司董事會決議召開111年股東常會,第 17款,111/03/15,1.董事會決議日期:111/03/15 2.股東會召開日期:111/06/30 3.股東會召開地點:南部科學園區台南市善化區環東路二段31號 4.股東會召開方式(實體股東會/視訊輔助股東會/視訊股東會 ，請擇一輸入):實體股東會 5.召集事由一、報告事項:  (1)本公司110年度營業報告。  (2)審計委員會審查110年度決算表冊報告。  (3)本公司110年度資金貸與辦理情形報告。  (4)110年私募情形報告。 6.召集事由二、承認事項:  (1)本公司110年度營業報告書及財務報表案。  (2)本公司110年度虧損撥補案。 7.召集事由三、討論事項:  (1)辦理私募現金增資發行新股案。  (2)修訂本公司「公司章程」案。  (3)修訂本公司「取得或處分資產處理程序」案。 8.召集事由四、選舉事項:補選本公司獨立董事案。 9.召集事由五、其他議案:解除本公司董事及其代表人之競業禁止限制案。 10.召集事由六、臨時動議:無 11.停止過戶起始日期:111/05/02 12.停止過戶截止日期:111/06/30 13.其他應敘明事項: 受理持股1%以上股份之股東以書面方式提案及提名獨立董事候選人 名單期間及地點：111年04月18日至111年04月28日每日上午八時至下午六時止 【郵寄者以受理期間內寄達為憑，並請於信封封面上加註『股東會提案、提名 函件』字樣及以掛號函件寄送並敘明聯絡人及聯絡方式】，以書面送達或寄達 至本公司財務部(南部科學園區台南市善化區環東路二段31號)。,3383
4,4,111/03/15,15:58:39,陳政權,總經理,02-2570-0898,公告本公司董事會決議私募現金增資普通股,第 11款,111/03/15,1.董事會決議日期:111/03/15 2.私募有價證券種類:私募普通股現金增資。 3.私募對象及其與公司間關係: 特定人選擇方式與目的、必要性及預計效益： A.應募人之選擇方式與目的：以對公司未來營運能產生直接或間接助益者為首要考量， 並符合證券交易法第43 條之6第1項規定之資格，擬洽詢之應募人如下:  (1)符合主管機關所定之自然人、法人或基金。  (2)內部人。  (3)策略性投資人，其相關資格證明授權董事會審查之。 擬參與私募之內部人或關係人可能名單、應募人與公司之關係：     應募人                 與公司關係 ................    ...........................    鍾寬仁             董事長    陳政權             董事之法人代表人、總經理 B.必要性：鑑於近年來LED產業朝同業策略聯盟合作，或上下游整合之趨勢日趨明顯，為 提升本公司之競爭優勢，以對本公司營運相當了解，可擴大本公司銷售市場之策略性投 資人，為本公司長期永續發展之必要策略。 C.預計效益：藉由應募人之策略性投資及原財政部證券暨期貨管理委員會91年6月13日 （91）台財證一字第0910003455號令規定之特定人為限，並擬包括內部人及關係人， 增強本公司之競爭優勢，擴大本公司之銷售市場。 4.私募股數或張數:發行額度不超過二仟萬股。 5.得私募額度:擬於總發行股數不超過二仟萬股限額內辦理國內現金增資，授權董事會  於股東會決議後，於一年內分二次發行。 6.私募價格訂定之依據及合理性: (一)本次私募國內現金增資發行普通股價格之訂定，應不低於本公司定價日前下列二基     準計算價格較高者之八成。  (1)定價日前一、三或五個營業日擇一計算普通股收盤價簡單算數平均數扣除無償配股     除權及配息，並加回減資反除權後之股價。  (2)定價日前三十個營業日普通股收盤價簡單算數平均數扣除無償配股除權及配息，並     加回減資反除權後之股價。  (3)實際之發行價格於不低於股東會決議成數之範圍內，擬提請股東會授權董事會視日     後洽特定人情形及市場狀況決定之。 (二)價格訂定之合理性：  (1)私募價格決定方式之合理性：係參酌本公司普通股之市場價格，符合發行市場慣例     ，故本次私募普通股價格之訂定應屬合理。  (2)私募價格訂定依據之合理性：符合公開發行公司辦理私募有價證券應注意事項之規     定，故應屬合理。 (三)股東權益之影響：本次私募普通股價格如依前述之定價成數致低於股票面額而造成     累積虧損時，將視市場及公司營運狀況，以未來年度所生盈餘或公積彌補、減資或     其他法定方式辦理。 7.本次私募資金用途:增加資本支出、償還銀行借款及充實營運資金等。 8.不採用公開募集之理由:本公司擬以私募方式辦理現金增資發行新股，達到有效降低資 金成本並確保資金籌集效率，另透過授權董事會視公司營運實際需求辦理，亦將有效提 高公司籌資之機動性與靈活性。 9.獨立董事反對或保留意見:無。 10.實際定價日:尚未實際發行。 11.參考價格:尚未實際發行。 12.實際私募價格、轉換或認購價格:尚未實際發行。 13.本次私募新股之權利義務:除其轉讓需依證券交易法第43條之8辦理外，其權利義務與 本公司已發行之普通股相同。 14.附有轉換、交換或認股者，其換股基準日:不適用。 15.附有轉換、交換或認股者，對股權可能稀釋情形:不適用。 16.附有轉換或認股者，於私募公司債交付且假設全數轉換或認購普通股後對 上市普通股股權比率之可能影響（上市普通股數A、A/已發行普通股):不適用。 17.前項預計上市普通股未達6000萬股且未達25%者，請說明股權流通性偏低之因應措施: 不適用。 18.其他應敘明事項: 本案之重要內容，包括但不限於發行股數、發行價格、發行條件、募集金額或其他 相關事宜等，若因法令修正或主管機關規定及基於營運評估或客觀環境之影響須變更或 修正時，提請股東會授權董事會得依當時市場狀況修訂之。,3383
5,5,111/03/15,15:59:00,陳政權,總經理,02-2570-0898,公告本公司不分派110年度員工酬勞及董事酬勞,第 51款,111/03/15,1.事實發生日:111/03/15 2.公司名稱:新世紀光電股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:依據金融監督管理委員會105年1月30日金管證審字第1050001900號令規定  辦理。 6.因應措施:無 7.其他應敘明事項:  (1)董事酬勞(元)：0  (2)員工現金酬勞金額(元)：0  (3)員工股票酬勞金額(元)：0,3383
6,6,111/03/15,15:59:27,陳政權,總經理,02-2570-0898,本公司董事會決議110年股東常會通過之私募案 ，未招募之額度不再辦理。,第 16款,111/03/15,"1.董事會決議變更日期:111/03/15 2.原計畫申報生效之日期:不適用。 3.追補發行之日期:不適用。 4.變動原因: 一、本公司於110年7月30日經股東常會通過私募現金增資發行新股案，發行額度 不超過20,000,000股，於股東常會決議之日起一年內分二次辦理。 二、110年股東常會決議後尚未辦理，因期限將屆且基於整體資金考量，因此擬 於111年7月29日發行期限屆滿，尚未招募之額度不再辦理。 5.歷次變更前後募集資金計畫:不適用。 6.預計執行進度:不適用。 7.預計完成日期:不適用。 8.預計可能產生效益:不適用。 9.與原預計效益產生之差異:不適用。 10.本次變更對股東權益之影響:不適用。 11.原主辦承銷商評估意見摘要:不適用。 12.其他應敘明事項:無。",3383
7,7,111/03/15,15:59:48,陳政權,總經理,02-2570-0898,公告本公司董事會決議解除本公司經理人競業禁止之限制。,第 21款,111/03/15,1.董事會決議日:111/03/15 2.許可從事競業行為之經理人姓名及職稱:總經理:陳政權 3.許可從事競業行為之項目:與本公司營業範圍相同或類似之業務 4.許可從事競業行為之期間:任職本公司經理人期間 5.決議情形（請依公司法第32條說明表決結果）:利害關係人總經理： 陳政權先生離席後，經全體出席董事決議無異議照案通過。 6.所許可之競業行為如屬大陸地區事業之營業者，經理人姓名及職稱 （非屬大陸地區事業之營業者，以下請輸〝不適用〞）:不適用 7.所擔任該大陸地區事業之公司名稱及職務:不適用 8.所擔任該大陸地區事業地址:不適用 9.所擔任該大陸地區事業營業項目:不適用 10.對本公司財務業務之影響程度:無 11.經理人如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用 12.其他應敘明事項:無,3383
8,8,111/03/15,16:00:15,陳政權,總經理,02-2570-0898,公告本公司薪資報酬委員會委員異動,第 6款,111/03/15,1.發生變動日期:111/03/15 2.功能性委員會名稱:薪資報酬委員會 3.舊任者姓名:李天翔 4.舊任者簡歷:新世紀光電股份有限公司薪酬委員。 5.新任者姓名:蘇鵬飛 6.新任者簡歷:達能科技股份有限公司獨立董事。 7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職 8.異動原因: 李天翔先生將於111年3月31日辭去本公司薪資報酬委員會委員職務。 本公司董事會決議擬自111/04/01起委任蘇鵬飛先生為薪資報酬委員。 9.原任期（例xx/xx/xx ~ xx/xx/xx）:110/08/12~112/06/19 10.新任生效日期:111/04/01。 11.其他應敘明事項:無。,3383
9,9,111/03/15,16:00:37,陳政權,總經理,02-2570-0898,公告本公司董事會決議不分派股利,第 14款,111/03/15,1. 董事會決議日期：111/03/15 2. 股利所屬年(季)度：110年 年度 3. 股利所屬期間：110/01/01 至 110/12/31 4. 股東配發內容： 　(1)盈餘分配之現金股利(元/股)：0 　(2)法定盈餘公積發放之現金(元/股)：0 　(3)資本公積發放之現金(元/股)：0 　(4)股東配發之現金(股利)總金額(元)：0 　(5)盈餘轉增資配股(元/股)：0 　(6)法定盈餘公積轉增資配股(元/股)：0 　(7)資本公積轉增資配股(元/股)：0 　(8)股東配股總股數(股)：0 5. 其他應敘明事項： 無 6. 普通股每股面額欄位：新台幣10.0000元,3383
