,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,110/11/01,16:21:12,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,110/11/01,"1.證券名稱: 政府公債。 2.交易日期:110/10/28~110/11/1 3.交易數量、每單位價格及交易總金額: 91282CCX7：288,950 單位；每單位US$99.04；總金額US$28.6 佰萬元。 91282CDB4：145,350 單位；每單位US$99.63；總金額US$14.5 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 91282CCX7：469,350 單位；US$46.6 佰萬元； 91282CDB4：607,200 單位；US$60.5 佰萬元； 以上持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.67%；6.41%；NT$-99,580 佰萬元。 8.取得或處分之具體目的: 固定收益投資 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
1,2,110/11/01,16:21:35,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告處分固定收益證券,第 20款,110/11/01,"1.證券名稱: 政府公債。 2.交易日期:110/6/8~110/11/1 3.交易數量、每單位價格及交易總金額: 91282CBA8：176,800 單位；每單位US$99.26；總金額US$17.5 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 處分損失 US$0.1 佰萬元。 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.61%；6.32%；NT$-99,580 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
2,1,110/11/03,16:59:30,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,110/11/03,"1.證券名稱: 政府機構不動產抵押貸款債券。 2.交易日期:110/11/3~110/11/3 3.交易數量、每單位價格及交易總金額: 3132DWBB8：361,444 單位；每單位US$100.26；總金額US$36.2 佰萬元。 36179WR26：349,200 單位；每單位US$102.98；總金額US$36.0 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 3132DWBB8：361,444 單位；US$36.2 佰萬元； 36179WR26：349,200 單位；US$36.0 佰萬元； 以上持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.70%；6.45%；NT$-99,580 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
3,2,110/11/03,17:03:30,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告處分固定收益證券,第 20款,110/11/03,"1.證券名稱: 政府機構不動產抵押貸款債券。 2.交易日期:110/11/3~110/11/3 3.交易數量、每單位價格及交易總金額: 36179WG36：260,195 單位；每單位US$102.91；總金額US$26.8 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 處分損失 US$0.1 佰萬元。 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.60%；6.31%；NT$-99,580 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
4,1,110/11/08,16:59:26,黃仁昭,副總經理暨財務長,03-563-6688,本公司受邀參加機構投資人說明會,第 12款,110/11/11,"符合條款第四條第XX款：12 事實發生日：110/11/11 1.召開法人說明會之日期：110/11/11 ~ 110/11/12 2.召開法人說明會之時間：09 時 00 分  3.召開法人說明會之地點：線上機構投資人說明會 4.法人說明會擇要訊息：本公司受邀參加摩根大通證券所舉辦之『9th Annual J.P. Morgan Global Technology, Media and Telecom Conference in Asia (Virtual)』，會中就本公司10/14法說會已公開之財務數字、經營績效等相關資訊進行說明。 5.其他應敘明事項：無。 完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。",2330
5,2,110/11/08,17:19:53,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,110/11/08,"1.證券名稱: 政府機構不動產抵押貸款債券。 2.交易日期:110/11/8~110/11/8 3.交易數量、每單位價格及交易總金額: 36179WR34：217,000 單位；每單位US$104.52；總金額US$22.7 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 36179WR34：217,000 單位；US$22.7 佰萬元；持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.66%；6.40%；NT$-99,580 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
6,1,110/11/09,18:14:07,黃仁昭,副總經理暨財務長,03-563-6688,台積公司董事會決議,第 51款,110/11/09,"1.事實發生日:110/11/09 2.公司名稱:台灣積體電路製造股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: 台積公司今（9）日召開董事會，重要決議如下：  一、核准配發2021年第三季之每股現金股利2.75元，其普通股配息基準日訂定為     2022年3月22日，除息交易日則為2022年3月16日。依公司法第一六五條規定     ，在公司決定分派股息之基準日前五日內，亦即自2022年3月18日起至3月22     日止，停止普通股股票過戶，並於2022年4月14日發放。此外，台積公司在     美國紐約證券交易所上市之美國存託憑證之除息交易日亦為2022年3月16日，     與普通股一致。台積公司美國存託憑證之配息基準日訂為2022年3月17日。  二、核准資本預算約美金90億3,644萬元（約新台幣2,394億6,484萬元），內容     包括：1. 建置及升級先進製程產能；2. 建置成熟及特殊製程產能；3. 建     置先進封裝產能；4. 廠房興建、廠務設施工程及資本化租賃資產；5. 2022     年第一季研發資本預算與經常性資本預算。  三、核准以不超過美金21億2,340萬元之股權投資於日本設立一由本公司為主要持     股之子公司，以提供專業積體電路製造服務。  四、核准任命徐國晉先生為本公司Integrated Interconnect & Packaging組織副     總經理，自民國2021年11月9日起生效。",2330
7,2,110/11/09,18:20:53,黃仁昭,副總經理暨財務長,03-563-6688,本公司民國110年度第三季合併財務報告業經提報董事會,第 31款,110/11/09,"1.提報董事會或經董事會決議日期:110/11/09 2.審計委員會通過日期:不適用 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):110/01/01~110/09/30 4.1月1日累計至本期止營業收入(仟元):1,149,225,731 5.1月1日累計至本期止營業毛利(毛損) (仟元):588,782,443 6.1月1日累計至本期止營業利益(損失) (仟元):467,208,943 7.1月1日累計至本期止稅前淨利(淨損) (仟元):478,307,103 8.1月1日累計至本期止本期淨利(淨損) (仟元):430,699,619 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):430,307,722 10.1月1日累計至本期止基本每股盈餘(損失) (元):16.59 11.期末總資產(仟元):3,332,311,884 12.期末總負債(仟元):1,253,991,574 13.期末歸屬於母公司業主之權益(仟元):2,076,020,062 14.其他應敘明事項:無",2330
8,4,110/11/09,19:24:40,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會核准機器設備、不動產及資本化租賃資產資本預算案,第 20款,110/11/09,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: (1)先進製程產能機器設備 (2)先進封裝、成熟及特殊製程產能機器設備 (3)研發及經常性資本預算機器設備 (4)不動產及資本化租賃資產 2.事實發生日:110/11/9~110/11/9 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: (1)先進製程產能機器設備 新台幣1,543億元 (2)先進封裝、成熟及特殊製程產能機器設備 新台幣107億元 (3)研發及經常性資本預算機器設備 新台幣188億元 (4)不動產及資本化租賃資產 新台幣556億元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 預期交易相對人及其與公司之關係（實際交易相對人應依本公司訂單為準）：  (1)先進製程產能機器設備:     Applied Materials South East Asia Pte. Ltd.; ASM America, Inc;     ASML Hong Kong Ltd.; Daifuku Co., Ltd.; EBARA Corporation;     Hitachi High-Technologies; KLA-Tencor Corp.;     Kokusai Electric Corporation; Lam Research International Sarl;     Lasertec Corporation; Murata Machinery, Ltd. Taiwan Project Office;     SCREEN Semiconductor Solutions Co., Ltd.; Tokyo Electron Ltd.    等34家公司；與公司關係：皆無。  (2)先進封裝、成熟及特殊製程產能機器設備:     Applied Materials South East Asia Pte. Ltd.;    ASML Hong Kong Ltd.; Lam Research International Sarl;     Tokyo Electron Ltd.    等66家公司；與公司關係：皆無。  (3)研發及經常性資本預算機器設備:     ASML Hong Kong Ltd.     等21家公司；與公司關係：皆無。  (4)不動產及資本化租賃資產:     ABB Ltd.; Accudevice Co., Ltd.; Air Liquide Far Eastern Ltd.;     Allis Electric Co., Ltd.; Am-Power Machine International     Enterprise Co., Ltd.; Atlas Copco Taiwan Ltd.; Atlas Technology     Corp.; Capital Machinery Limited; Chen Yuan International Co.,     Ltd.; Chenfull International Co., Ltd.; Cheng Deh Fire Protection     Industrial Corp.; Chien Kuo Construction Co., Ltd.; China Steel     Structure Co., Ltd.; Chun Yuan Steel Industry Co., Ltd.; Chung-Lin     General Contractors, Ltd.; Cica-Huntek Chemical Technology Taiwan    Co., Ltd.; Confederate Technology Co., Ltd.; Da-Cin Construction     Co., Ltd.; Desiccant Technology Corporation; Evergreen Steel     Corporation; Exyte Taiwan Co., Ltd.; Fortune Electric Co., Ltd.;     Fu Tsu Construction Co., Ltd.; Hantech Engineering Co., Ltd.;     Hsieh Kun Co., Ltd.; Hsinchu Science Park Bureau, Ministry of     Science and Technology; Hueng Luei Process Industry Co., Ltd.;     Ingersoll-Rand Southeast Asia (Pte) Ltd. Taiwan Branch (Singapore);     J.C. Yang Architect and Associates; JG Environmental Technology     Co., Ltd.; JJmr-Clean-Air Solution Tech.Services Co., Ltd.; Jusun     Instruments Co., Ltd.; Kajima Corporation; Kao Hsin Engineering     Co., Ltd.; Kaohsiung City Government; Kedge Construction Co.,     Ltd.; Kikuyo-machi; Kinetics Technology Corporation; L&K     Engineering Co., Ltd.; Lead-Fu Industrials Corporation; Lee Ming     Construction Co., Ltd.; Mandartech Interiors Inc.; Marketech     International Corp.; Mega Union Technology Incorporated; Organo     Technology Co., Ltd.; Ovivo Taiwan Co., Ltd.; Pan Asia (Engineers     & Constructors) Corporation; Ruentex Engineering & Construction     Co., Ltd.; San Fu Chemical Co., Ltd.; Schneider Electric Taiwan     Co., Ltd.; Shihlin Electric & Engineering Corporation; Siemens     Limited; Solomon Technology Corporation; Swift Engineering Co.,     Ltd.; Taiwan Gleno Enterprise Co., Ltd.; Taiwan Obayashi     Corporation; Taiwan Power Company; Taiwan Puritic Corp.;     TASA Construction Corporation; Techgo Industrial Co., Ltd.;     Trane Taiwan Distribution Limited; Trusval Technology Co., Ltd.;     Tung Kang Steel Structure Corp.; Uangyih-Tech Industrial Co.,     Ltd.; Unelectra International Corp.; United Integrated Services Co.,     Ltd.; Versum Materials Taiwan Co., Ltd.; Weltall Technology     Corporation; Wholetech System Hitech Limited; Yangtech     Engineering Co., Ltd.; Yankey Engineering Co., Ltd.; Ying Pao     Technology Inc.; Zhao-Cheng Corp.    等122家公司；與公司關係：皆無。 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 不適用 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 依訂單條件付款。 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 比價及議價；廠商提供之報價單及市場行情；依本公司董事會核決辦理。 10.專業估價者事務所或公司名稱及其估價金額: 不適用 11.專業估價師姓名: 不適用 12.專業估價師開業證書字號: 不適用 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 不適用 21.取得或處分之具體目的或用途: 供生產、營運用。 22.本次交易表示異議之董事之意見: 無。 23.本次交易為關係人交易:否 24.董事會通過日期: 不適用 25.監察人承認或審計委員會同意日期: 不適用 26.本次交易係向關係人取得不動產或其使用權資產:否 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無。",2330
9,3,110/11/09,19:28:02,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會核准於日本投資設立子公司,第 20款,110/11/09,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）: Japan Advanced Semiconductor Manufacturing, Inc. 普通股。 2.事實發生日:110/11/9~110/11/9 3.交易數量、每單位價格及交易總金額: 不超過美金21.234億元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之 關係人者，得免揭露其姓名）: Japan Advanced Semiconductor Manufacturing, Inc.；本公司之子公司。 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移 轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次 移轉日期及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取 得及處分日期、價格及交易當時與公司之關係: 不適用 7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權 如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權 帳面金額: 不適用 8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明 認列情形）: 不適用 9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 分批增資，總額不超過美金21.234億元。 10.本次交易之決定方式、價格決定之參考依據及決策單位: 本公司董事會決議。 11.取得或處分有價證券標的公司每股淨值: 不適用 12.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 不超過美金21.234億元；無。 13.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列 之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬 於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）: 24.03% ; 31.64% ; NT$-99,580佰萬元。 14.經紀人及經紀費用: 不適用 15.取得或處分之具體目的或用途: 投資設立日本子公司。 16.本次交易表示異議董事之意見: 不適用 17.本次交易為關係人交易:否 18.董事會通過日期: 不適用 19.監察人承認或審計委員會同意日期: 不適用 20.本次交易會計師出具非合理性意見:不適用 21.會計師事務所名稱: 不適用 22.會計師姓名: 不適用 23.會計師開業證書字號: 不適用 24.是否涉及營運模式變更:否 25.營運模式變更說明: 不適用 26.過去一年及預計未來一年內與交易相對人交易情形: 不適用 27.資金來源: 自有資金。 28.其他敘明事項: 無。",2330
