,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,111/08/09,18:33:20,黃仁昭,副總經理暨財務長,03-563-6688,台積公司董事會決議,第 51款,111/08/09,"1.事實發生日:111/08/09 2.公司名稱:台灣積體電路製造股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: 台積公司今(9)日召開董事會，重要決議如下：  一、核准配發2022年第二季之每股現金股利2.75元，其普通股配息基準日     訂定為2022年12月21日，除息交易日則為2022年12月15日。依公司法     第一六五條規定，在公司決定分派股息之基準日前五日內，亦即自     2022年12月17日起至12月21日止，停止普通股股票過戶，並於2023年     1月12日發放。此外，台積公司在美國紐約證券交易所上市之美國存     託憑證之除息交易日亦為2022年12月15日，與普通股一致。台積公司     美國存託憑證之配息基準日訂為2022年12月16日。  二、核准資本預算約美金92億3,473萬元，內容包括：1. 建置及擴充先進     製程產能；2. 建置成熟及特殊製程產能。  三、核准於不高於美金40億元之額度內，為本公司百分之百持有之子公司     TSMC Arizona募集美元無擔保普通公司債提供保證，以支應本公司產     能擴充之資金需求。",2330
1,2,111/08/09,19:24:18,黃仁昭,副總經理暨財務長,03-563-6688,本公司民國111年度第二季合併財務報告業經董事會決議通過,第 31款,111/08/09,"1.提報董事會或經董事會決議日期:111/08/09 2.審計委員會通過日期:111/08/08 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):111/01/01~111/06/30 4.1月1日累計至本期止營業收入(仟元):1,025,216,681 5.1月1日累計至本期止營業毛利(毛損) (仟元):588,671,160 6.1月1日累計至本期止營業利益(損失) (仟元):485,913,867 7.1月1日累計至本期止稅前淨利(淨損) (仟元):492,829,977 8.1月1日累計至本期止本期淨利(淨損) (仟元):440,053,626 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):439,760,292 10.1月1日累計至本期止基本每股盈餘(損失) (元):16.96 11.期末總資產(仟元):4,345,941,335 12.期末總負債(仟元):1,835,479,210 13.期末歸屬於母公司業主之權益(仟元):2,496,353,192 14.其他應敘明事項:無",2330
2,3,111/08/09,19:29:42,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會決議股利分派,第 14款,111/08/09,"1. 董事會決議日期：111/08/09 2. 股利所屬年(季)度：111年 第2季 3. 股利所屬期間：111/04/01 至 111/06/30 4. 股東配發內容： 　(1)盈餘分配之現金股利(元/股)：2.75000000 　(2)法定盈餘公積發放之現金(元/股)：0 　(3)資本公積發放之現金(元/股)：0 　(4)股東配發之現金(股利)總金額(元)：71,308,546,260 　(5)盈餘轉增資配股(元/股)：0 　(6)法定盈餘公積轉增資配股(元/股)：0 　(7)資本公積轉增資配股(元/股)：0 　(8)股東配股總股數(股)：0 5. 其他應敘明事項： 無。 6. 普通股每股面額欄位：新台幣10.0000元",2330
3,4,111/08/09,19:32:14,黃仁昭,副總經理暨財務長,03-563-6688,本公司訂定民國111年第二季之現金股利除息交易日,第 14款,111/08/09,"1.董事會、股東會決議或公司決定日期:111/08/09 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:普通股現金股利 NT$71,308,546,260元(每股 NT$2.75元) 4.除權（息）交易日:111/12/15 5.最後過戶日:111/12/16 6.停止過戶起始日期:111/12/17 7.停止過戶截止日期:111/12/21 8.除權（息）基準日:111/12/21 9.其他應敘明事項: (1) 現金股利將於民國112年1月12日發放。 (2) 本公司在美國紐約證券交易所上市之美國存託憑證之除息交易日亦為     111年12月15日，與普通股一致。本公司美國存託憑證之配息基準日訂     為111年12月16日。",2330
4,5,111/08/09,19:39:40,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會核准機器設備資本預算案,第 20款,111/08/09,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: (1)先進製程產能機器設備 (2)成熟及特殊製程產能機器設備 2.事實發生日:111/8/9~111/8/9 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: (1)先進製程產能機器設備 美金5,546佰萬元 (2)成熟及特殊製程產能機器設備 美金3,689佰萬元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 預期交易相對人及其與公司之關係（實際交易相對人應依本公司訂單為準）：  (1)先進製程產能機器設備:     Applied Materials South East Asia Pte. Ltd.; ASM America, Inc;     ASML Hong Kong Ltd.; Carl Zeiss SMT GmbH; Daifuku Co., Ltd.;    EBARA Corporation; IMS Nanofabrication AG; KLA-Tencor Corp.;    Lam Research International Sarl; Lasertec Corporation; Murata     Machinery, Ltd. Taiwan Project Office; NuFlare Technology, Inc.;     SCREEN Semiconductor Solutions Co., Ltd.; SUSS MicroTec     Photomask Equipment GmbH and Co. KG; Tokyo Electron Ltd.    等49家公司；與公司關係：皆無。  (2)成熟及特殊製程產能機器設備:     Applied Materials South East Asia Pte. Ltd.; EV Group;    Hitachi High-Technologies; KLA-Tencor Corp.; Kokusai Electric     Corporation; Lam Research International Sarl; SCREEN     Semiconductor Solutions Co., Ltd.; Sumitomo Heavy Industries Ion     Technology Co., Ltd.; Tokyo Electron Ltd.;    等55家公司；與公司關係：皆無。 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 不適用 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 依訂單條件付款。 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 比價及議價；廠商提供之報價單及市場行情；依本公司董事會核決辦理。 10.專業估價者事務所或公司名稱及其估價金額: 不適用 11.專業估價師姓名: 不適用 12.專業估價師開業證書字號: 不適用 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 不適用 21.取得或處分之具體目的或用途: 供生產、營運用。 22.本次交易表示異議之董事之意見: 無。 23.本次交易為關係人交易:否 24.董事會通過日期: 不適用 25.監察人承認或審計委員會同意日期: 不適用 26.本次交易係向關係人取得不動產或其使用權資產:否 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無。",2330
5,1,111/08/10,13:40:26,黃仁昭,副總經理暨財務長,03-563-6688,台積公司2022年7月營收報告,第 51款,111/08/10,"1.事實發生日:111/08/10 2.公司名稱:台灣積體電路製造股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: 台積公司今（10）日公佈2022年7月營收報告。2022年7月合併營收約 為新台幣1,867億6,300萬元，較上月增加了6.2%，較去年同期增加了 49.9%。累計2022年1至7月營收約為新台幣1兆2,119億7,900萬元，較 去年同期增加了41.1%。",2330
6,1,111/08/11,15:36:16,黃仁昭,副總經理暨財務長,03-563-6688,本公司代重要子公司TSMC North America公告 其財務主管異動,第 8款,111/08/11,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、 行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、 內部稽核主管或訴訟及非訟代理人）:財務主管 2.發生變動日期:111/08/11 3.舊任者姓名、級職及簡歷:Tricia Chu, TSMC North America財務主管 4.新任者姓名、級職及簡歷:Jia-Ling Tu, TSMC North America資深處長 5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新 任」或「解任」）:職務調整 6.異動原因:Tricia Chu將任職於TSMC Arizona，其原擔任之TSMC North America 財務主管一職將由Jia-Ling Tu接任。 7.生效日期:自111年9月1日起生效。 8.其他應敘明事項:無。",2330
7,1,111/08/16,16:41:00,黃仁昭,副總經理暨財務長,03-563-6688,公告本公司111年度第5期無擔保普通公司債主要發行條件,第 11款,111/08/16,1.董事會決議日期:NA 2.名稱﹝XX公司第X次（有、無）擔保公司債﹞: 台灣積體電路製造股份有限公司111年度第5期無擔保普通公司債 3.是否採總括申報發行公司債(是/否):否 4.發行總額: 發行總額為新台幣156億元整，依發行期限之不同分為甲類、乙類、丙類及丁類4種。 甲類發行金額為新台幣20億元整，乙類發行金額為新台幣89億元整， 丙類發行金額為新台幣22億元整，丁類發行金額為新台幣25億元整。 5.每張面額:新台幣壹仟萬元 6.發行價格:按票面十足發行 7.發行期間: 甲類發行期限為4年10個月、乙類發行期限為5年期、 丙類發行期限為7年期、丁類發行期限為10年期。 8.發行利率: 甲類固定年利率1.65%、乙類固定年利率1.65%、 丙類固定年利率1.65%、丁類固定年利率1.82% 9.擔保品之種類、名稱、金額及約定事項:無 10.募得價款之用途及運用計畫:新建擴建廠房設備 11.承銷方式:委託證券承銷商以洽商銷售方式對外公開承銷 12.公司債受託人:台北富邦商業銀行股份有限公司 13.承銷或代銷機構:委任群益金鼎證券股份有限公司為主辦承銷商 14.發行保證人:無 15.代理還本付息機構:台北富邦商業銀行股份有限公司市府分公司 16.簽證機構:無 17.能轉換股份者，其轉換辦法:不適用 18.賣回條件:無 19.買回條件:無 20.附有轉換、交換或認股者，其換股基準日:不適用 21.附有轉換、交換或認股者，對股權可能稀釋情形:不適用 22.其他應敘明事項: 本公司於111/02/15董事會通過募集無擔保普通公司債，此為完成111年度第5期公司 債定價後之說明。,2330
8,1,111/08/17,18:18:30,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,111/08/17,"1.證券名稱: 公司債。 2.交易日期:111/8/17~111/8/17 3.交易數量、每單位價格及交易總金額: 31429KAG8：140,000 單位；每單位US$99.90；總金額US$14.0 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 31429KAG8：140,000 單位；US$14.0 佰萬元；持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 5.24%；7.09%；NT$78,373 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
9,1,111/08/18,16:12:37,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,111/08/18,"1.證券名稱: 公司債。 2.交易日期:111/7/18~111/8/18 3.交易數量、每單位價格及交易總金額: 61747YET8：150,000 單位；每單位US$100.63；總金額US$15.1 佰萬元。 95000U3C5：130,000 單位；每單位US$100.18；總金額US$13.0 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 61747YET8：150,000 單位；US$15.1 佰萬元；持股比例：不適用；受限情形：無。 95000U3C5：130,000 單位；US$13.0 佰萬元；持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 5.25%；7.10%；NT$78,373 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
