,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,111/05/04,16:59:23,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,111/05/04,"1.證券名稱: 公司債。 2.交易日期:111/4/21~111/5/4 3.交易數量、每單位價格及交易總金額: 06051GJC4：130,000 單位；每單位US$98.36；總金額US$12.8 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 06051GJC4：840,000 單位；US$83.0 佰萬元；持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.55%；7.08%；NT$78,373 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
1,1,111/05/05,18:33:12,黃仁昭,副總經理暨財務長,03-563-6688,本公司代子公司 TSMC Global Ltd. 公告取得固定收益證券,第 20款,111/05/05,"1.證券名稱: 公司債。 2.交易日期:111/5/2~111/5/5 3.交易數量、每單位價格及交易總金額: 46647PBQ8：200,000 單位；每單位US$98.52；總金額US$19.7 佰萬元。 4.處分利益（或損失）（取得有價證券者不適用）: 不適用 5.與交易標的公司之關係: 無。 6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 46647PBQ8：996,250 單位；US$98.5 佰萬元；持股比例：不適用；受限情形：無。 7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投 資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例 暨最近期財務報表中營運資金數額: 4.55%；7.09%；NT$78,373 佰萬元。 8.取得或處分之具體目的: 固定收益投資。 9.本次交易表示異議董事之意見: 不適用 10.本次交易為關係人交易: 否 11.交易相對人及其與公司之關係: 不適用 12.董事會通過日期: 不適用 13.監察人承認或審計委員會同意日期: 不適用 14.其他敘明事項: 無。",2330
2,1,111/05/10,13:44:16,黃仁昭,副總經理暨財務長,03-563-6688,台積公司2022年4月營收報告,第 51款,111/05/10,"1.事實發生日:111/05/10 2.公司名稱:台灣積體電路製造股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: 台積公司今（10）日公佈2022年4月營收報告。2022年4月合併營收約為 新台幣1,725億6,100萬元，較上月增加了0.3%，較去年同期增加了55.0%。 累計2022年1至4月營收約為新台幣6,636億3,700萬元，較去年同期增加了40.1%。",2330
3,2,111/05/10,18:58:08,黃仁昭,副總經理暨財務長,03-563-6688,台積公司董事會決議,第 51款,111/05/10,"1.事實發生日:111/05/10 2.公司名稱:台灣積體電路製造股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: 台積公司今(10)日召開董事會，重要決議如下：  一、核准配發2022年第一季之每股現金股利2.75元，其普通股配息基準     日訂定為2022年9月21日，除息交易日則為2022年9月15日。依公司     法第一六五條規定，在公司決定分派股息之基準日前五日內，亦即     自2022年9月17日起至9月21日止，停止普通股股票過戶，並於2022     年10月13日發放。此外，台積公司在美國紐約證券交易所上市之美     國存託憑證之除息交易日亦為2022年9月15日，與普通股一致。台     積公司美國存託憑證之配息基準日訂為2022年9月16日。  二、核准資本預算約美金167億5,767萬元，內容包括：1. 建置及升級先     進製程產能；2. 建置成熟及特殊製程產能；3. 建置及升級先進封     裝產能；4. 資本化租賃資產。  三、核准全球員工購股計畫，適用於本公司及本公司百分之百持有子公     司之全體正職員工。",2330
4,3,111/05/10,19:14:09,黃仁昭,副總經理暨財務長,03-563-6688,本公司民國111年度第一季合併財務報告業經提報董事會,第 31款,111/05/10,"1.提報董事會或經董事會決議日期:111/05/10 2.審計委員會通過日期:111/05/09 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):111/01/01~111/03/31 4.1月1日累計至本期止營業收入(仟元):491,075,873 5.1月1日累計至本期止營業毛利(毛損) (仟元):273,203,166 6.1月1日累計至本期止營業利益(損失) (仟元):223,790,118 7.1月1日累計至本期止稅前淨利(淨損) (仟元):226,831,696 8.1月1日累計至本期止本期淨利(淨損) (仟元):202,873,374 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):202,732,975 10.1月1日累計至本期止基本每股盈餘(損失) (元):7.82 11.期末總資產(仟元):3,992,676,667 12.期末總負債(仟元):1,671,207,913 13.期末歸屬於母公司業主之權益(仟元):2,314,430,096 14.其他應敘明事項:無",2330
5,4,111/05/10,19:16:46,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會決議股利分派,第 14款,111/05/10,"1. 董事會決議日期：111/05/10 2. 股利所屬年(季)度：111年 第1季 3. 股利所屬期間：111/01/01 至 111/03/31 4. 股東配發內容： 　(1)盈餘分配之現金股利(元/股)：2.75000000 　(2)法定盈餘公積發放之現金(元/股)：0 　(3)資本公積發放之現金(元/股)：0 　(4)股東配發之現金(股利)總金額(元)：71,308,546,260 　(5)盈餘轉增資配股(元/股)：0 　(6)法定盈餘公積轉增資配股(元/股)：0 　(7)資本公積轉增資配股(元/股)：0 　(8)股東配股總股數(股)：0 5. 其他應敘明事項： 無。 6. 普通股每股面額欄位：新台幣10.0000元",2330
6,5,111/05/10,19:48:35,黃仁昭,副總經理暨財務長,03-563-6688,本公司訂定民國111年第一季之現金股利除息交易日,第 14款,111/05/10,"1.董事會、股東會決議或公司決定日期:111/05/10 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:普通股現金股利 NT$71,308,546,260元(每股 NT$2.75元) 4.除權（息）交易日:111/09/15 5.最後過戶日:111/09/16 6.停止過戶起始日期:111/09/17 7.停止過戶截止日期:111/09/21 8.除權（息）基準日:111/09/21 9.其他應敘明事項: (1) 現金股利將於民國111年10月13日發放。 (2) 本公司在美國紐約證券交易所上市之美國存託憑證之除息交易日亦為     111年9月15日，與普通股一致。本公司美國存託憑證之配息基準日訂     為111年9月16日。",2330
7,6,111/05/10,19:50:12,黃仁昭,副總經理暨財務長,03-563-6688,公告本公司董事會決議庫藏股註銷減資事宜,第 11款,111/05/10,"1.董事會決議日期:111/05/10 2.減資緣由:庫藏股註銷 3.減資金額:新台幣13,870,000元 4.消除股份:1,387,000股 5.減資比率:0.01% 6.減資後股本:新台幣259,303,804,580元 7.預定股東會日期:不適用 8.預計減資新股上市後之上市普通股股數:不適用 9.預計減資新股上市後之上市普通股股數占已發行普通股比率 （減資後上市普通股股數/減資後已發行普通股股數）:不適用 10.前二項預計減資後上巿普通股股數未達6000萬股且未達25%者， 請說明股權流通性偏低之因應措施:不適用 11.減資基準日:111/05/10 12.其他應敘明事項:無",2330
8,7,111/05/10,19:51:57,黃仁昭,副總經理暨財務長,03-563-6688,本公司董事會核准機器設備、不動產及資本化租賃資產資本預算案,第 20款,111/05/10,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: (1)先進製程產能機器設備 (2)先進封裝、成熟及特殊製程產能機器設備 (3)不動產及資本化租賃資產 2.事實發生日:111/5/10~111/5/10 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: (1)先進製程產能機器設備 美金12,891 佰萬元 (2)先進封裝、成熟及特殊製程產能機器設備 美金1,720佰萬元 (3)不動產及資本化租賃資產 美金2,147佰萬元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 預期交易相對人及其與公司之關係（實際交易相對人應依本公司訂單為準）： (1)先進製程產能機器設備:  Applied Materials South East Asia Pte. Ltd.; ASM America, Inc;  ASML Hong Kong Ltd.; Canon Inc.; Daifuku Co., Ltd.;  EBARA Corporation; Hitachi High-Technologies;  KLA-Tencor Corp.; Kokusai Electric Corporation;  Lam Research International Sarl; Lasertec Corporation;   Murata Machinery, Ltd. Taiwan Project Office; Nikon Corporation; SCREEN Semiconductor Solutions Co., Ltd.; Tokyo Electron Ltd. 等39家公司；與公司關係：皆無。  (2)先進封裝、成熟及特殊製程產能機器設備:  Applied Materials South East Asia Pte. Ltd.; Daifuku Co., Ltd.; KLA-Tencor Corp.; Lam Research International Sarl; Murata Machinery, Ltd. Taiwan Project Office; NuFlare Technology, Inc.; Teradyne Asia Pte. Ltd.; Tokyo Electron Ltd. 等107家公司；與公司關係：皆無。  (3)不動產及資本化租賃資產:  Southern Taiwan Science Park Bureau, Ministry of Science and Technology 等19家公司；與公司關係：皆無。 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 不適用 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 依訂單條件付款。 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 比價及議價；廠商提供之報價單及市場行情；依本公司董事會核決辦理。 10.專業估價者事務所或公司名稱及其估價金額: 不適用 11.專業估價師姓名: 不適用 12.專業估價師開業證書字號: 不適用 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 不適用 21.取得或處分之具體目的或用途: 供生產、營運用。 22.本次交易表示異議之董事之意見: 無。 23.本次交易為關係人交易:否 24.董事會通過日期: 不適用 25.監察人承認或審計委員會同意日期: 不適用 26.本次交易係向關係人取得不動產或其使用權資產:否 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無。",2330
9,1,111/05/11,17:17:01,黃仁昭,副總經理暨財務長,03-563-6688,公告本公司111年度第3期無擔保普通公司債(綠色債券) 主要發行條件,第 11款,111/05/11,1.董事會決議日期:NA 2.名稱﹝XX公司第X次（有、無）擔保公司債﹞: 台灣積體電路製造股份有限公司111年度第3期無擔保普通公司債 3.是否採總括申報發行公司債(是/否):否 4.發行總額:新台幣61億元整 5.每張面額:新台幣壹仟萬元 6.發行價格:按票面十足發行 7.發行期間:5年期 8.發行利率:固定年利率1.50% 9.擔保品之種類、名稱、金額及約定事項:無 10.募得價款之用途及運用計畫:綠建築及綠色環保相關之資本支出 11.承銷方式:委託證券承銷商以洽商銷售方式對外公開承銷 12.公司債受託人:台北富邦商業銀行股份有限公司 13.承銷或代銷機構:委任群益金鼎證券股份有限公司為主辦承銷商 14.發行保證人:無 15.代理還本付息機構:台北富邦商業銀行股份有限公司市府分公司 16.簽證機構:無 17.能轉換股份者，其轉換辦法:不適用 18.賣回條件:無 19.買回條件:無 20.附有轉換、交換或認股者，其換股基準日:不適用 21.附有轉換、交換或認股者，對股權可能稀釋情形:不適用 22.其他應敘明事項: 本公司於111/02/15董事會通過募集無擔保普通公司債，此為完成111年度第3期公司 債(綠色債券)定價後之說明。,2330
